Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1595336400000,2020-07-21 13:00:00,BTCEUR,8231.58,8300.0,8231.58,8260.0,27.760728,229057.90366834,588
1595332800000,2020-07-21 12:00:00,BTCEUR,8222.79,8250.0,8212.53,8235.22,29.455974,242662.82294504,477
1595329200000,2020-07-21 11:00:00,BTCEUR,8211.58,8227.24,8201.98,8224.0,5.636806,46309.18990282,300
1595325600000,2020-07-21 10:00:00,BTCEUR,8185.37,8216.98,8173.27,8212.58,11.361007,93162.55907867,655
1595322000000,2020-07-21 09:00:00,BTCEUR,8186.81,8219.5,8182.77,8182.77,9.49918,77909.89371258,727
1595318400000,2020-07-21 08:00:00,BTCEUR,8197.9,8212.57,8173.15,8181.95,9.203517,75411.92623643,349
1595314800000,2020-07-21 07:00:00,BTCEUR,8075.47,8219.25,8067.73,8200.0,25.183535,205206.08106991,500
1595311200000,2020-07-21 06:00:00,BTCEUR,8079.7,8085.76,8062.77,8074.08,2.404597,19416.47743362,182
1595307600000,2020-07-21 05:00:00,BTCEUR,8072.84,8092.0,8069.08,8074.78,3.357624,27131.50304614,206
1595304000000,2020-07-21 04:00:00,BTCEUR,8061.48,8075.3,8052.97,8071.63,1.514567,12211.20406702,86
1595300400000,2020-07-21 03:00:00,BTCEUR,8053.65,8068.72,8036.24,8052.79,0.549298,4422.79647804,93
1595296800000,2020-07-21 02:00:00,BTCEUR,8057.35,8068.32,8045.41,8054.94,0.394293,3177.44811893,59
1595293200000,2020-07-21 01:00:00,BTCEUR,8053.38,8068.74,8046.59,8054.79,0.353456,2849.17794573,64
1595289600000,2020-07-21 00:00:00,BTCEUR,8043.8,8057.14,8037.72,8048.94,0.913195,7348.88633525,169
1595286000000,2020-07-20 23:00:00,BTCEUR,8055.27,8060.0,8035.1,8044.21,0.171744,1382.59914381,37
1595282400000,2020-07-20 22:00:00,BTCEUR,8059.48,8070.1,8035.71,8054.14,1.579422,12717.91656002,51
1595278800000,2020-07-20 21:00:00,BTCEUR,8057.62,8068.91,8036.0,8050.0,1.694963,13655.60610084,76
1595275200000,2020-07-20 20:00:00,BTCEUR,8036.0,8070.99,8036.0,8067.0,2.99656,24140.22296069,156
1595271600000,2020-07-20 19:00:00,BTCEUR,8078.42,8085.35,8036.0,8036.0,8.909724,71780.88151415,702
1595268000000,2020-07-20 18:00:00,BTCEUR,8089.53,8099.65,8058.78,8076.07,7.88197,63674.63350284,934
1595264400000,2020-07-20 17:00:00,BTCEUR,8066.12,8095.41,8053.45,8089.08,8.798042,71017.58985496,277
1595260800000,2020-07-20 16:00:00,BTCEUR,8065.16,8081.45,8053.61,8066.12,4.205688,33916.25404256,192
1595257200000,2020-07-20 15:00:00,BTCEUR,8063.0,8093.52,8057.14,8065.16,19.19197,154832.96146522,292
1595253600000,2020-07-20 14:00:00,BTCEUR,8045.31,8080.0,8045.31,8071.68,10.946887,88337.73005402,191
1595250000000,2020-07-20 13:00:00,BTCEUR,8056.74,8075.92,8039.77,8045.32,6.175924,49776.5022831,233
1595246400000,2020-07-20 12:00:00,BTCEUR,8035.63,8060.77,8025.06,8057.95,3.347334,26927.86130635,184
1595242800000,2020-07-20 11:00:00,BTCEUR,8018.56,8047.3,8014.12,8046.62,6.173743,49583.61693449,152
1595239200000,2020-07-20 10:00:00,BTCEUR,8060.82,8075.02,8014.0,8040.6,12.007983,96607.04556996,269
1595235600000,2020-07-20 09:00:00,BTCEUR,8062.78,8075.88,8058.31,8067.06,7.557449,60974.14781078,275
1595232000000,2020-07-20 08:00:00,BTCEUR,8060.03,8086.76,8058.31,8063.29,6.920082,55854.36271795,283
1595228400000,2020-07-20 07:00:00,BTCEUR,8058.46,8076.62,8049.41,8060.66,4.571079,36852.58230505,205
1595224800000,2020-07-20 06:00:00,BTCEUR,8068.14,8071.55,8044.54,8049.89,1.672531,13476.75148224,147
1595221200000,2020-07-20 05:00:00,BTCEUR,8080.58,8084.58,8057.95,8071.12,4.443846,35884.73364109,271
1595217600000,2020-07-20 04:00:00,BTCEUR,8087.15,8089.09,8071.18,8081.09,1.112077,8988.7073555,104
1595214000000,2020-07-20 03:00:00,BTCEUR,8093.39,8102.35,8087.39,8090.05,0.275899,2232.89978375,69
1595210400000,2020-07-20 02:00:00,BTCEUR,8082.75,8110.54,8082.75,8091.7,2.245377,18181.68314836,47
1595206800000,2020-07-20 01:00:00,BTCEUR,8088.56,8092.87,8084.54,8090.58,0.173629,1404.56634953,27
1595203200000,2020-07-20 00:00:00,BTCEUR,8097.04,8105.72,8073.2,8089.21,0.75546,6109.46764639,27
1595199600000,2020-07-19 23:00:00,BTCEUR,8080.64,8104.0,8053.84,8101.09,4.400936,35589.6258072,141
1595196000000,2020-07-19 22:00:00,BTCEUR,8082.25,8088.37,8063.45,8080.64,0.632106,5106.29425976,88
1595192400000,2020-07-19 21:00:00,BTCEUR,8079.49,8088.0,8065.13,8070.0,1.962465,15862.92524446,84
1595188800000,2020-07-19 20:00:00,BTCEUR,8076.13,8088.29,8059.13,8079.27,4.826335,38980.75758983,187
1595185200000,2020-07-19 19:00:00,BTCEUR,8061.38,8076.75,8026.77,8068.52,13.929411,112312.30129003,325
1595181600000,2020-07-19 18:00:00,BTCEUR,8058.91,8065.0,8048.42,8064.0,0.37708,3038.44831267,52
1595178000000,2020-07-19 17:00:00,BTCEUR,8057.72,8065.0,8033.32,8058.5,1.818676,14637.92331649,100
1595174400000,2020-07-19 16:00:00,BTCEUR,8029.41,8067.13,8027.72,8054.04,2.424003,19503.96949758,120
1595170800000,2020-07-19 15:00:00,BTCEUR,8038.35,8047.0,8018.06,8027.88,3.504578,28169.23037133,129
1595167200000,2020-07-19 14:00:00,BTCEUR,8034.53,8045.72,8027.8,8041.09,0.896194,7201.40085488,112
1595163600000,2020-07-19 13:00:00,BTCEUR,8039.29,8044.97,8029.9,8033.68,1.920863,15431.00617547,121
1595160000000,2020-07-19 12:00:00,BTCEUR,8030.17,8046.87,8019.0,8036.47,1.839361,14764.62265998,166
1595156400000,2020-07-19 11:00:00,BTCEUR,8032.59,8047.0,8016.48,8034.16,3.719977,29869.63388479,211
1595152800000,2020-07-19 10:00:00,BTCEUR,8054.32,8060.0,8013.88,8033.22,4.595238,36926.78725104,202
