Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR,tradecount
1634230800000,2021-10-14 17:00:00,ETHEUR,3262.45,3284.5,3258.52,3269.0,626.9073,2052167.158568,2840
1634227200000,2021-10-14 16:00:00,ETHEUR,3284.65,3297.0,3250.97,3261.67,1457.8757,4773035.785767,5551
1634223600000,2021-10-14 15:00:00,ETHEUR,3267.82,3290.84,3239.12,3283.2,1936.2488,6337833.163508,6824
1634220000000,2021-10-14 14:00:00,ETHEUR,3248.38,3279.65,3248.05,3267.54,1736.7392,5670757.929058,6451
1634216400000,2021-10-14 13:00:00,ETHEUR,3218.02,3262.96,3208.61,3247.81,1684.6747,5460748.13304,6185
1634212800000,2021-10-14 12:00:00,ETHEUR,3219.04,3239.46,3206.05,3217.89,1634.3647,5268858.505549,5565
1634209200000,2021-10-14 11:00:00,ETHEUR,3136.73,3229.76,3136.54,3219.0,2847.3868,9100480.257753,9908
1634205600000,2021-10-14 10:00:00,ETHEUR,3129.72,3145.34,3122.98,3136.64,839.7754,2633658.065818,2812
1634202000000,2021-10-14 09:00:00,ETHEUR,3140.98,3141.98,3120.0,3129.74,737.405,2308365.246384,2724
1634198400000,2021-10-14 08:00:00,ETHEUR,3128.13,3144.06,3126.72,3140.99,691.5029,2168772.201315,2652
1634194800000,2021-10-14 07:00:00,ETHEUR,3124.44,3133.27,3118.02,3128.66,676.513,2115490.395343,2462
1634191200000,2021-10-14 06:00:00,ETHEUR,3133.1,3143.05,3111.64,3124.43,865.529,2707491.824952,2859
1634187600000,2021-10-14 05:00:00,ETHEUR,3147.23,3155.45,3129.89,3133.41,810.8517,2546847.44867,2905
1634184000000,2021-10-14 04:00:00,ETHEUR,3139.51,3149.63,3129.3,3147.5,663.1377,2080399.116789,2246
1634180400000,2021-10-14 03:00:00,ETHEUR,3133.03,3142.5,3125.66,3139.19,526.626,1650754.695555,1742
1634176800000,2021-10-14 02:00:00,ETHEUR,3141.24,3149.9,3126.5,3132.72,717.7476,2253013.12855,2582
1634173200000,2021-10-14 01:00:00,ETHEUR,3105.35,3144.44,3101.83,3141.3,994.1991,3104496.561599,3473
1634169600000,2021-10-14 00:00:00,ETHEUR,3110.6,3132.17,3092.13,3105.62,1489.0892,4635556.164995,4477
1634166000000,2021-10-13 23:00:00,ETHEUR,3109.11,3116.64,3087.48,3109.98,474.8136,1472200.291398,1880
1634162400000,2021-10-13 22:00:00,ETHEUR,3084.0,3112.42,3083.64,3109.17,667.4419,2068115.601195,2634
1634158800000,2021-10-13 21:00:00,ETHEUR,3092.43,3102.28,3082.58,3083.74,540.9411,1672899.6366,2269
1634155200000,2021-10-13 20:00:00,ETHEUR,3047.99,3102.99,3046.2,3091.66,1401.8596,4318807.833085,5606
1634151600000,2021-10-13 19:00:00,ETHEUR,3039.2,3054.99,3036.16,3047.4,819.5431,2496309.802044,2440
1634148000000,2021-10-13 18:00:00,ETHEUR,3038.23,3060.14,3038.23,3038.65,996.1417,3037364.268439,2813
1634144400000,2021-10-13 17:00:00,ETHEUR,3027.84,3051.99,3027.51,3038.22,1025.7865,3118414.056066,3375
1634140800000,2021-10-13 16:00:00,ETHEUR,3024.47,3048.19,3020.18,3027.84,999.1729,3028351.878228,3294
1634137200000,2021-10-13 15:00:00,ETHEUR,3025.15,3049.06,3018.55,3024.65,1009.0579,3060373.614337,3378
1634133600000,2021-10-13 14:00:00,ETHEUR,2987.67,3040.0,2962.5,3025.83,2406.3663,7225766.39694,6833
1634130000000,2021-10-13 13:00:00,ETHEUR,3013.6,3017.29,2984.17,2987.67,1052.6865,3158103.919006,3370
1634126400000,2021-10-13 12:00:00,ETHEUR,3012.11,3019.82,2995.3,3013.16,875.7508,2633908.702603,3299
1634122800000,2021-10-13 11:00:00,ETHEUR,2996.96,3012.13,2987.0,3012.11,779.0235,2337014.503565,2935
1634119200000,2021-10-13 10:00:00,ETHEUR,2997.53,3014.55,2989.48,2997.65,853.2198,2563399.884673,3299
1634115600000,2021-10-13 09:00:00,ETHEUR,2977.52,3000.83,2967.69,2998.06,843.6379,2519227.772704,3518
1634112000000,2021-10-13 08:00:00,ETHEUR,2980.01,3008.87,2974.36,2978.8,1253.6918,3749524.844476,4295
1634108400000,2021-10-13 07:00:00,ETHEUR,3008.61,3015.0,2978.61,2980.57,1082.0051,3242194.062477,4001
1634104800000,2021-10-13 06:00:00,ETHEUR,3000.01,3019.81,2992.94,3008.62,1209.7881,3639120.925958,3943
1634101200000,2021-10-13 05:00:00,ETHEUR,3048.57,3063.14,3000.05,3000.41,1407.7672,4260663.528841,4729
1634097600000,2021-10-13 04:00:00,ETHEUR,3043.25,3055.97,3036.17,3048.57,448.3402,1365845.390908,1554
1634094000000,2021-10-13 03:00:00,ETHEUR,3057.07,3058.16,3040.23,3043.24,435.0871,1325399.524534,1400
1634090400000,2021-10-13 02:00:00,ETHEUR,3041.99,3057.18,3035.57,3057.14,420.0299,1278957.962114,1446
1634086800000,2021-10-13 01:00:00,ETHEUR,3062.99,3070.0,3039.47,3041.25,530.8762,1621946.012299,1849
1634083200000,2021-10-13 00:00:00,ETHEUR,3033.58,3069.23,3027.12,3062.18,786.6326,2399282.727957,2727
1634079600000,2021-10-12 23:00:00,ETHEUR,3041.91,3052.68,3029.74,3035.34,395.3141,1201930.526185,1273
1634076000000,2021-10-12 22:00:00,ETHEUR,3031.39,3048.07,3023.16,3042.5,590.1597,1790875.320405,1883
1634072400000,2021-10-12 21:00:00,ETHEUR,3024.04,3031.29,3014.65,3030.24,495.2182,1497761.216244,1747
1634068800000,2021-10-12 20:00:00,ETHEUR,3011.31,3034.18,2971.76,3024.13,1791.1363,5381839.932843,5092
1634065200000,2021-10-12 19:00:00,ETHEUR,3030.16,3044.64,3006.9,3011.31,807.4323,2443663.77148,2624
1634061600000,2021-10-12 18:00:00,ETHEUR,3029.21,3041.99,3025.0,3030.0,571.7051,1734427.937571,2252
1634058000000,2021-10-12 17:00:00,ETHEUR,3052.34,3057.25,3023.3,3029.47,1007.5995,3058572.986884,3418
1634054400000,2021-10-12 16:00:00,ETHEUR,3043.4,3062.25,3027.83,3052.46,1267.1654,3860292.099412,4282
1634050800000,2021-10-12 15:00:00,ETHEUR,3026.74,3049.14,3005.28,3043.33,1528.8865,4636998.973927,5269
1634047200000,2021-10-12 14:00:00,ETHEUR,3035.86,3081.24,3010.0,3026.65,2682.2391,8186775.833036,8710
1634043600000,2021-10-12 13:00:00,ETHEUR,2967.28,3053.66,2967.28,3035.97,3220.726,9730557.111385,8831
1634040000000,2021-10-12 12:00:00,ETHEUR,2999.62,3002.51,2954.97,2967.71,1639.5593,4872219.079017,5194
1634036400000,2021-10-12 11:00:00,ETHEUR,3004.05,3010.0,2991.75,3000.03,771.5321,2315579.075765,2888
1634032800000,2021-10-12 10:00:00,ETHEUR,2984.46,3006.58,2962.56,3004.78,1495.5242,4458656.554803,5200
