Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR,tradecount
1650499200000,2022-04-21,LTCEUR,103.2,105.3,97.3,98.7,14272.012,1457177.1357,4685
1650412800000,2022-04-20,LTCEUR,105.7,105.7,102.1,103.3,12729.804,1322373.2991,4352
1650326400000,2022-04-19,LTCEUR,103.5,106.0,102.5,105.7,10689.626,1114863.4532,3654
1650240000000,2022-04-18,LTCEUR,100.7,103.7,97.6,103.5,15455.912,1548079.8833,3823
1650153600000,2022-04-17,LTCEUR,106.0,106.7,100.3,100.6,11003.907,1149294.235,2734
1650067200000,2022-04-16,LTCEUR,103.0,106.4,102.2,105.9,9654.497,1002784.0097,2863
1649980800000,2022-04-15,LTCEUR,99.5,104.6,99.2,103.0,15144.898,1551370.1256,3288
1649894400000,2022-04-14,LTCEUR,101.5,103.1,98.0,99.5,13300.431,1335026.4073,3423
1649808000000,2022-04-13,LTCEUR,96.9,102.1,96.2,101.5,15190.078,1511703.8668,4367
1649721600000,2022-04-12,LTCEUR,94.3,97.4,93.7,96.9,13680.678,1312848.3304,4144
1649635200000,2022-04-11,LTCEUR,101.4,101.7,93.9,94.1,17102.737,1664508.0884,4626
1649548800000,2022-04-10,LTCEUR,103.9,105.2,101.3,101.5,7537.638,781598.7539,2774
1649462400000,2022-04-09,LTCEUR,101.9,104.1,101.4,103.9,6115.518,627593.0093,2446
1649376000000,2022-04-08,LTCEUR,105.0,106.2,100.9,102.1,12351.854,1288248.053,3771
1649289600000,2022-04-07,LTCEUR,102.6,105.5,101.4,105.1,8667.743,901775.7509,3396
1649203200000,2022-04-06,LTCEUR,112.6,112.9,102.4,102.7,14947.975,1607713.2566,4475
1649116800000,2022-04-05,LTCEUR,113.7,116.2,112.4,112.6,9213.043,1053279.3763,3191
1649030400000,2022-04-04,LTCEUR,116.7,116.8,110.7,113.9,13042.261,1481718.1704,3501
1648944000000,2022-04-03,LTCEUR,113.3,117.3,112.2,116.7,7233.117,832232.3281,2715
1648857600000,2022-04-02,LTCEUR,113.0,116.4,112.2,113.1,8793.789,1006316.5645,2871
1648771200000,2022-04-01,LTCEUR,111.9,114.4,107.7,113.3,9669.71,1081461.6785,3419
1648684800000,2022-03-31,LTCEUR,117.6,118.9,109.5,111.9,18133.578,2064840.2415,5172
1648598400000,2022-03-30,LTCEUR,117.4,120.3,113.5,117.4,12206.001,1436795.0216,3625
1648512000000,2022-03-29,LTCEUR,116.2,119.2,114.7,117.3,8446.744,990493.0591,3440
1648425600000,2022-03-28,LTCEUR,118.0,121.1,115.5,116.1,13801.992,1648336.4465,3862
1648339200000,2022-03-27,LTCEUR,113.8,118.1,112.4,118.1,10108.833,1165464.1447,2941
1648252800000,2022-03-26,LTCEUR,113.0,114.5,111.2,113.8,5866.343,663198.0906,2261
1648166400000,2022-03-25,LTCEUR,115.0,115.5,110.9,113.0,9970.694,1135308.7432,2900
1648080000000,2022-03-24,LTCEUR,111.4,116.2,109.5,114.9,17246.488,1951830.5492,4051
1647993600000,2022-03-23,LTCEUR,111.5,113.0,107.8,111.4,12614.693,1388756.5218,3561
1647907200000,2022-03-22,LTCEUR,105.4,112.5,105.0,111.5,21908.291,2407517.5855,4848
1647820800000,2022-03-21,LTCEUR,104.2,106.2,102.6,105.5,16297.811,1705269.1764,3913
1647734400000,2022-03-20,LTCEUR,105.8,107.2,100.9,104.2,13612.72,1413002.1716,3611
1647648000000,2022-03-19,LTCEUR,101.4,106.0,101.0,105.9,15220.7,1566405.7156,3630
1647561600000,2022-03-18,LTCEUR,99.6,102.4,97.1,101.5,11364.73,1136755.5196,3631
1647475200000,2022-03-17,LTCEUR,101.0,101.4,98.5,99.6,9174.351,913674.366,3426
1647388800000,2022-03-16,LTCEUR,97.6,102.3,96.5,101.1,15186.796,1498384.3109,4584
1647302400000,2022-03-15,LTCEUR,96.6,99.3,91.0,97.5,18217.553,1742559.1744,5901
1647216000000,2022-03-14,LTCEUR,93.3,97.4,92.6,96.6,17756.756,1686116.8719,6777
1647129600000,2022-03-13,LTCEUR,97.0,98.6,93.0,93.4,11710.165,1127732.0565,5198
1647043200000,2022-03-12,LTCEUR,96.0,99.0,95.9,96.8,8989.744,873922.2151,4025
1646956800000,2022-03-11,LTCEUR,93.4,97.1,90.7,96.1,14051.688,1324878.8775,4764
1646870400000,2022-03-10,LTCEUR,96.7,96.9,90.1,93.3,13725.411,1272998.9108,4485
1646784000000,2022-03-09,LTCEUR,92.5,98.9,92.2,96.6,11135.454,1079502.0126,3850
1646697600000,2022-03-08,LTCEUR,90.7,93.8,90.2,92.5,11895.47,1096722.5643,3377
1646611200000,2022-03-07,LTCEUR,93.0,95.8,88.9,90.9,13737.312,1268012.9487,3707
1646524800000,2022-03-06,LTCEUR,96.2,96.9,92.7,93.0,7239.511,685852.9787,2564
1646438400000,2022-03-05,LTCEUR,92.5,96.6,91.2,95.9,7207.383,678798.3274,2811
1646352000000,2022-03-04,LTCEUR,101.0,101.9,90.9,92.6,12276.391,1181800.3966,4134
1646265600000,2022-03-03,LTCEUR,99.3,102.0,97.9,101.1,12646.322,1265960.9244,4067
1646179200000,2022-03-02,LTCEUR,101.1,103.2,98.4,99.3,11756.819,1182553.3649,4010
1646092800000,2022-03-01,LTCEUR,101.4,103.8,98.2,101.3,12937.957,1306670.0794,4736
1646006400000,2022-02-28,LTCEUR,92.1,101.5,90.9,101.5,14236.552,1350915.4904,4454
1645920000000,2022-02-27,LTCEUR,95.8,97.8,90.8,92.2,10972.367,1034392.2172,3591
1645833600000,2022-02-26,LTCEUR,97.0,101.9,94.7,96.1,10712.087,1049828.7232,3571
1645747200000,2022-02-25,LTCEUR,93.1,98.2,90.9,96.8,11490.803,1080799.8551,3787
1645660800000,2022-02-24,LTCEUR,93.3,96.4,81.7,93.1,21762.8674,1903351.668096,6381
1645574400000,2022-02-23,LTCEUR,95.0,98.2,92.9,93.3,11061.736,1060644.311,3570
1645488000000,2022-02-22,LTCEUR,91.0,95.2,88.9,95.0,14457.93,1332905.4682,4179
1645401600000,2022-02-21,LTCEUR,97.9,100.9,90.5,91.0,16465.248,1595282.0139,4733
1645315200000,2022-02-20,LTCEUR,102.3,102.4,95.9,97.7,9734.369,953616.5011,3467
1645228800000,2022-02-19,LTCEUR,101.6,103.6,100.0,102.4,9110.066,930668.7737,3427
1645142400000,2022-02-18,LTCEUR,102.4,108.7,101.0,101.6,17060.689,1778016.0252,5022
1645056000000,2022-02-17,LTCEUR,112.3,113.4,101.2,102.4,13683.01,1470216.6158,4950
1644969600000,2022-02-16,LTCEUR,115.6,116.0,110.4,112.1,9082.464,1026504.2375,4229
1644883200000,2022-02-15,LTCEUR,110.3,116.8,109.7,115.9,11266.776,1287731.9737,4903
